repository_path,sha256,bytes,origin,license,local_modification_status
models/caper/repro/metrics.py,9678a0511a0fa7e8527c8c73d018452ea0b4af68912679659def258f2424d869,1977,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/distillation/analyze_d1.py,2027a0e69b76ec0830eae0d0ccdc3c232a3e4189f7cdb9a6affb7fb6e58a449d,5985,UrbanEV project implementation,MIT,executed project source
models/distillation/run_formal_cell.py,f3697686fa77fe908666c0eb0929ce04c8b652819c7be87a10f97e1b1cd41a13,13938,UrbanEV project implementation,MIT,executed project source
models/paris/aggregate_paris_teacher.py,a4d8e5090544f9e1950182a769799551d8e82690fec8979e132dfc52120717bd,20684,project-authored Paris development adapter,MIT,executed project source; provenance documented
models/paris/paris_teacher_common.py,5a14545e6e21b259a514f74a6b6161a7d07dca31bf87f7763a9b00f2fee5fb9f,14938,project-authored Paris development adapter,MIT,executed project source; provenance documented
models/paris/PARIS_TEACHER_MODEL_CONFIG.json,b301ee69d8c2d2a5f24413318cd89cf861b6508018bbdbfaeee201215959568b,2832,project-authored Paris development adapter,MIT,executed project source; provenance documented
models/paris/PROVENANCE.md,861a0a50b2a385b41d01acbd35a59948c64ab5b9ebb219cfb62fe6cd90017356,1513,project-authored Paris development adapter,MIT,executed project source; provenance documented
models/paris/run_paris_teacher_cell.py,e301b91182c5e70f7b78a08af65b734dac2375bd6a6f591e4943cdfcbf8781bc,26106,project-authored Paris development adapter,MIT,executed project source; provenance documented
models/README.md,ca85ad5e84624ed1f1182d14c4e6c73784ab2823d17f6fa382179bb9b7935ccf,877,UrbanEV project implementation,MIT,executed project source
models/router/evaluate_fixed_fusions.py,e57748d0edb8b0b237320945cb613c4d946b2bf2079b1ef45a6122e9e6f0cada,13728,UrbanEV project implementation,MIT,executed project source
models/router/run_router_v1.py,8788b9e430f2c98d975310ca55b603439b1b71ccf013cca1ce5567a664ec87e8,34840,UrbanEV project implementation,MIT,executed project source
models/timexer/layers/__init__.py,f6bc4ecdd10e2d104aaefe3dbb982ca8698b455129e27c48455be7af54fdff63,67,Time-Series-Library executed local snapshot,MIT,executed local adaptation
models/timexer/layers/Embed.py,17e7c3577324c41a0da427a199c955b782fde905aabb1f7cbc3c4e15ebd4ae35,7012,Time-Series-Library executed local snapshot,MIT,executed local adaptation
models/timexer/layers/SelfAttention_Family.py,6f6592aed0753e342fc04c01db70528c2eb191eeb067cd5fd4c8d348fddcb794,12001,Time-Series-Library executed local snapshot,MIT,executed local adaptation
models/timexer/TimeXer.py,563d4ce4304fedb0b4925f02ee302ac9933e71f3e94523d0ce887a3762076b02,8801,Time-Series-Library executed local snapshot,MIT,executed local adaptation
models/timexer/utils/__init__.py,18c0c1f2ecf7050f18f50f91f9bfc309e04a83f416bcbb2df3bccf43b8d4782a,69,Time-Series-Library executed local snapshot,MIT,executed local adaptation
models/timexer/utils/masking.py,02f453e52cfaec65e34132923add80e7132f188706680fa86d7bd884976e09ef,832,Time-Series-Library executed local snapshot,MIT,executed local adaptation
