dataset,series,K,role,quarter,origin_state,windows,identified,identified_positive,identified_negative
beijing,Dingling,24,fit,2013Q2,high,833,827,758,69
beijing,Dingling,24,fit,2013Q3,missing,38,18,15,3
beijing,Dingling,24,fit,2013Q3,low,1568,1568,509,1059
beijing,Dingling,24,fit,2013Q3,high,602,596,530,66
beijing,Dingling,24,fit,2013Q4,missing,41,4,2,2
beijing,Dingling,24,fit,2013Q4,low,1001,1001,257,744
beijing,Dingling,24,fit,2013Q4,high,399,399,363,36
beijing,Dingling,24,select,2013Q4,missing,1,1,1,0
beijing,Dingling,24,select,2013Q4,low,590,590,110,480
beijing,Dingling,24,select,2013Q4,high,153,153,137,16
beijing,Dingling,24,select,2014Q1,missing,75,72,67,5
beijing,Dingling,24,select,2014Q1,low,662,639,350,289
beijing,Dingling,24,select,2014Q1,high,656,653,616,37
beijing,Dongsi,24,fit,2013Q1,missing,1,1,1,0
beijing,Dongsi,24,fit,2013Q1,low,248,248,157,91
beijing,Dongsi,24,fit,2013Q1,high,327,327,307,20
beijing,Dongsi,24,fit,2013Q2,missing,46,25,25,0
beijing,Dongsi,24,fit,2013Q2,low,1096,1092,688,404
beijing,Dongsi,24,fit,2013Q2,high,1042,1039,967,72
beijing,Dongsi,24,fit,2013Q3,missing,66,36,34,2
beijing,Dongsi,24,fit,2013Q3,low,1248,1239,578,661
beijing,Dongsi,24,fit,2013Q3,high,894,887,823,64
beijing,Dongsi,24,fit,2013Q4,missing,29,26,26,0
beijing,Dongsi,24,fit,2013Q4,low,773,751,383,368
beijing,Dongsi,24,fit,2013Q4,high,639,639,597,42
beijing,Dongsi,24,select,2013Q4,missing,1,1,1,0
beijing,Dongsi,24,select,2013Q4,low,461,461,260,201
beijing,Dongsi,24,select,2013Q4,high,282,282,264,18
beijing,Dongsi,24,select,2014Q1,missing,31,30,26,4
beijing,Dongsi,24,select,2014Q1,low,544,522,321,201
beijing,Dongsi,24,select,2014Q1,high,818,818,794,24
beijing,Guanyuan,24,fit,2013Q1,low,262,262,176,86
beijing,Guanyuan,24,fit,2013Q1,high,314,314,296,18
beijing,Guanyuan,24,fit,2013Q2,missing,49,25,23,2
beijing,Guanyuan,24,fit,2013Q2,low,1171,1149,622,527
beijing,Guanyuan,24,fit,2013Q2,high,964,962,890,72
beijing,Guanyuan,24,fit,2013Q3,missing,49,16,14,2
beijing,Guanyuan,24,fit,2013Q3,low,1343,1322,551,771
beijing,Guanyuan,24,fit,2013Q3,high,816,815,751,64
beijing,Guanyuan,24,fit,2013Q4,missing,3,3,2,1
beijing,Guanyuan,24,fit,2013Q4,low,788,788,353,435
beijing,Guanyuan,24,fit,2013Q4,high,650,650,603,47
beijing,Guanyuan,24,select,2013Q4,missing,1,1,0,1
beijing,Guanyuan,24,select,2013Q4,low,451,451,236,215
beijing,Guanyuan,24,select,2013Q4,high,292,292,274,18
beijing,Guanyuan,24,select,2014Q1,missing,36,35,30,5
beijing,Guanyuan,24,select,2014Q1,low,558,536,331,205
beijing,Guanyuan,24,select,2014Q1,high,799,795,771,24
beijing,Gucheng,24,fit,2013Q1,low,236,236,161,75
beijing,Gucheng,24,fit,2013Q1,high,340,340,322,18
beijing,Gucheng,24,fit,2013Q2,missing,101,28,14,14
beijing,Gucheng,24,fit,2013Q2,low,1109,1072,647,425
beijing,Gucheng,24,fit,2013Q2,high,974,968,899,69
beijing,Gucheng,24,fit,2013Q3,missing,31,7,3,4
beijing,Gucheng,24,fit,2013Q3,low,1395,1386,510,876
beijing,Gucheng,24,fit,2013Q3,high,782,775,724,51
beijing,Gucheng,24,fit,2013Q4,missing,4,4,3,1
beijing,Gucheng,24,fit,2013Q4,low,796,796,419,377
beijing,Gucheng,24,fit,2013Q4,high,641,641,602,39
beijing,Gucheng,24,select,2013Q4,low,430,430,264,166
beijing,Gucheng,24,select,2013Q4,high,314,314,293,21
beijing,Gucheng,24,select,2014Q1,missing,44,44,42,2
beijing,Gucheng,24,select,2014Q1,low,527,506,317,189
beijing,Gucheng,24,select,2014Q1,high,822,822,794,28
beijing,Huairou,24,fit,2013Q1,low,279,279,136,143
beijing,Huairou,24,fit,2013Q1,high,297,297,275,22
beijing,Huairou,24,fit,2013Q2,missing,233,10,1,9
beijing,Huairou,24,fit,2013Q2,low,1205,1183,611,572
beijing,Huairou,24,fit,2013Q2,high,746,743,676,67
beijing,Huairou,24,fit,2013Q3,missing,1,1,1,0
beijing,Huairou,24,fit,2013Q3,low,1458,1458,593,865
beijing,Huairou,24,fit,2013Q3,high,749,749,682,67
beijing,Huairou,24,fit,2013Q4,missing,3,3,1,2
beijing,Huairou,24,fit,2013Q4,low,969,969,287,682
beijing,Huairou,24,fit,2013Q4,high,469,469,422,47
beijing,Huairou,24,select,2013Q4,missing,33,10,6,4
beijing,Huairou,24,select,2013Q4,low,539,512,196,316
beijing,Huairou,24,select,2013Q4,high,172,172,139,33
beijing,Huairou,24,select,2014Q1,missing,42,41,34,7
beijing,Huairou,24,select,2014Q1,low,584,567,313,254
beijing,Huairou,24,select,2014Q1,high,767,764,738,26
beijing,Nongzhanguan,24,fit,2013Q1,low,244,244,184,60
beijing,Nongzhanguan,24,fit,2013Q1,high,332,332,311,21
beijing,Nongzhanguan,24,fit,2013Q2,missing,29,28,25,3
beijing,Nongzhanguan,24,fit,2013Q2,low,1231,1230,713,517
beijing,Nongzhanguan,24,fit,2013Q2,high,924,921,848,73
beijing,Nongzhanguan,24,fit,2013Q3,missing,5,5,4,1
beijing,Nongzhanguan,24,fit,2013Q3,low,1285,1285,619,666
beijing,Nongzhanguan,24,fit,2013Q3,high,918,917,844,73
beijing,Nongzhanguan,24,fit,2013Q4,missing,4,4,3,1
beijing,Nongzhanguan,24,fit,2013Q4,low,807,807,412,395
beijing,Nongzhanguan,24,fit,2013Q4,high,630,630,586,44
beijing,Nongzhanguan,24,select,2013Q4,missing,1,1,1,0
beijing,Nongzhanguan,24,select,2013Q4,low,456,456,278,178
beijing,Nongzhanguan,24,select,2013Q4,high,287,287,266,21
beijing,Nongzhanguan,24,select,2014Q1,missing,28,27,25,2
beijing,Nongzhanguan,24,select,2014Q1,low,543,521,332,189
beijing,Nongzhanguan,24,select,2014Q1,high,822,822,797,25
beijing,Shunyi,24,fit,2013Q1,missing,21,10,10,0
beijing,Shunyi,24,fit,2013Q1,low,232,232,126,106
beijing,Shunyi,24,fit,2013Q1,high,323,320,305,15
beijing,Shunyi,24,fit,2013Q2,missing,8,8,6,2
beijing,Shunyi,24,fit,2013Q2,low,1234,1234,683,551
beijing,Shunyi,24,fit,2013Q2,high,942,941,847,94
beijing,Shunyi,24,fit,2013Q3,missing,230,19,19,0
beijing,Shunyi,24,fit,2013Q3,low,1238,1233,542,691
beijing,Shunyi,24,fit,2013Q3,high,740,737,681,56
beijing,Shunyi,24,fit,2013Q4,missing,1,1,1,0
beijing,Shunyi,24,fit,2013Q4,low,901,901,436,465
beijing,Shunyi,24,fit,2013Q4,high,539,539,495,44
beijing,Shunyi,24,select,2013Q4,missing,2,2,0,2
beijing,Shunyi,24,select,2013Q4,low,537,537,216,321
beijing,Shunyi,24,select,2013Q4,high,205,205,184,21
beijing,Shunyi,24,select,2014Q1,missing,44,43,38,5
beijing,Shunyi,24,select,2014Q1,low,568,546,374,172
beijing,Shunyi,24,select,2014Q1,high,781,780,757,23
beijing,Tiantan,24,fit,2013Q1,missing,3,3,3,0
beijing,Tiantan,24,fit,2013Q1,low,243,243,186,57
beijing,Tiantan,24,fit,2013Q1,high,330,330,309,21
beijing,Tiantan,24,fit,2013Q2,missing,7,7,6,1
beijing,Tiantan,24,fit,2013Q2,low,1182,1182,688,494
beijing,Tiantan,24,fit,2013Q2,high,995,995,919,76
beijing,Tiantan,24,fit,2013Q3,missing,6,5,1,4
beijing,Tiantan,24,fit,2013Q3,low,1351,1329,581,748
beijing,Tiantan,24,fit,2013Q3,high,851,851,775,76
beijing,Tiantan,24,fit,2013Q4,missing,1,1,1,0
beijing,Tiantan,24,fit,2013Q4,low,799,799,436,363
beijing,Tiantan,24,fit,2013Q4,high,641,641,600,41
beijing,Tiantan,24,select,2013Q4,low,451,451,261,190
beijing,Tiantan,24,select,2013Q4,high,293,293,275,18
beijing,Tiantan,24,select,2014Q1,missing,61,60,59,1
beijing,Tiantan,24,select,2014Q1,low,554,519,322,197
beijing,Tiantan,24,select,2014Q1,high,778,778,753,25
beijing,Wanliu,24,fit,2013Q1,low,231,231,153,78
beijing,Wanliu,24,fit,2013Q1,high,345,345,329,16
beijing,Wanliu,24,fit,2013Q2,missing,11,11,6,5
beijing,Wanliu,24,fit,2013Q2,low,1069,1069,691,378
beijing,Wanliu,24,fit,2013Q2,high,1104,1104,1033,71
beijing,Wanliu,24,fit,2013Q3,missing,3,3,2,1
beijing,Wanliu,24,fit,2013Q3,low,1303,1303,605,698
beijing,Wanliu,24,fit,2013Q3,high,902,902,833,69
beijing,Wanliu,24,fit,2013Q4,missing,3,3,3,0
beijing,Wanliu,24,fit,2013Q4,low,749,749,363,386
beijing,Wanliu,24,fit,2013Q4,high,689,689,654,35
beijing,Wanliu,24,select,2013Q4,missing,4,4,4,0
beijing,Wanliu,24,select,2013Q4,low,376,376,223,153
beijing,Wanliu,24,select,2013Q4,high,364,364,351,13
beijing,Wanliu,24,select,2014Q1,missing,28,28,26,2
beijing,Wanliu,24,select,2014Q1,low,505,488,329,159
beijing,Wanliu,24,select,2014Q1,high,860,857,835,22
beijing,Wanshouxigong,24,fit,2013Q1,low,254,254,170,84
beijing,Wanshouxigong,24,fit,2013Q1,high,322,322,304,18
beijing,Wanshouxigong,24,fit,2013Q2,missing,27,20,18,2
beijing,Wanshouxigong,24,fit,2013Q2,low,1054,1046,709,337
beijing,Wanshouxigong,24,fit,2013Q2,high,1103,1096,1034,62
beijing,Wanshouxigong,24,fit,2013Q3,missing,11,11,6,5
beijing,Wanshouxigong,24,fit,2013Q3,low,1446,1442,590,852
beijing,Wanshouxigong,24,fit,2013Q3,high,751,750,673,77
beijing,Wanshouxigong,24,fit,2013Q4,missing,2,2,0,2
beijing,Wanshouxigong,24,fit,2013Q4,low,774,774,399,375
beijing,Wanshouxigong,24,fit,2013Q4,high,665,665,622,43
beijing,Wanshouxigong,24,select,2013Q4,missing,1,1,1,0
beijing,Wanshouxigong,24,select,2013Q4,low,432,432,254,178
beijing,Wanshouxigong,24,select,2013Q4,high,311,311,295,16
beijing,Wanshouxigong,24,select,2014Q1,missing,64,62,58,4
beijing,Wanshouxigong,24,select,2014Q1,low,493,471,299,172
beijing,Wanshouxigong,24,select,2014Q1,high,836,833,811,22
beijing,Aotizhongxin,72,fit,2013Q1,low,238,238,238,0
beijing,Aotizhongxin,72,fit,2013Q1,high,338,338,338,0
beijing,Aotizhongxin,72,fit,2013Q2,missing,5,5,5,0
beijing,Aotizhongxin,72,fit,2013Q2,low,1185,1185,1111,74
beijing,Aotizhongxin,72,fit,2013Q2,high,994,994,983,11
beijing,Aotizhongxin,72,fit,2013Q3,missing,2,2,2,0
beijing,Aotizhongxin,72,fit,2013Q3,low,1374,1374,1213,161
beijing,Aotizhongxin,72,fit,2013Q3,high,832,832,799,33
beijing,Aotizhongxin,72,fit,2013Q4,missing,3,3,3,0
beijing,Aotizhongxin,72,fit,2013Q4,low,777,777,677,100
beijing,Aotizhongxin,72,fit,2013Q4,high,613,613,604,9
beijing,Aotizhongxin,72,select,2013Q4,missing,1,1,1,0
beijing,Aotizhongxin,72,select,2013Q4,low,485,485,395,90
beijing,Aotizhongxin,72,select,2013Q4,high,258,258,252,6
beijing,Aotizhongxin,72,select,2014Q1,missing,19,19,19,0
beijing,Aotizhongxin,72,select,2014Q1,low,561,561,561,0
beijing,Aotizhongxin,72,select,2014Q1,high,765,765,765,0
beijing,Changping,72,fit,2013Q1,low,256,256,256,0
beijing,Changping,72,fit,2013Q1,high,320,320,318,2
beijing,Changping,72,fit,2013Q2,missing,31,31,29,2
beijing,Changping,72,fit,2013Q2,low,1257,1257,1050,207
beijing,Changping,72,fit,2013Q2,high,896,896,877,19
beijing,Changping,72,fit,2013Q3,low,1481,1481,1246,235
beijing,Changping,72,fit,2013Q3,high,727,727,685,42
beijing,Changping,72,fit,2013Q4,missing,2,2,2,0
beijing,Changping,72,fit,2013Q4,low,886,886,674,212
beijing,Changping,72,fit,2013Q4,high,505,505,491,14
beijing,Changping,72,select,2013Q4,low,504,504,408,96
beijing,Changping,72,select,2013Q4,high,240,240,227,13
beijing,Changping,72,select,2014Q1,missing,33,33,31,2
beijing,Changping,72,select,2014Q1,low,562,562,549,13
beijing,Changping,72,select,2014Q1,high,750,750,743,7
beijing,Dingling,72,fit,2013Q1,low,280,280,280,0
beijing,Dingling,72,fit,2013Q1,high,296,296,293,3
beijing,Dingling,72,fit,2013Q2,missing,54,54,54,0
beijing,Dingling,72,fit,2013Q2,low,1297,1278,1031,247
beijing,Dingling,72,fit,2013Q2,high,833,830,812,18
beijing,Dingling,72,fit,2013Q3,missing,38,21,18,3
beijing,Dingling,72,fit,2013Q3,low,1568,1568,1226,342
beijing,Dingling,72,fit,2013Q3,high,602,599,559,40
beijing,Dingling,72,fit,2013Q4,missing,41,41,41,0
beijing,Dingling,72,fit,2013Q4,low,953,953,600,353
beijing,Dingling,72,fit,2013Q4,high,399,399,382,17
beijing,Dingling,72,select,2013Q4,missing,1,1,1,0
beijing,Dingling,72,select,2013Q4,low,590,590,305,285
beijing,Dingling,72,select,2013Q4,high,153,153,138,15
beijing,Dingling,72,select,2014Q1,missing,61,61,61,0
beijing,Dingling,72,select,2014Q1,low,633,632,596,36
beijing,Dingling,72,select,2014Q1,high,651,651,642,9
beijing,Dongsi,72,fit,2013Q1,missing,1,1,1,0
beijing,Dongsi,72,fit,2013Q1,low,248,248,248,0
beijing,Dongsi,72,fit,2013Q1,high,327,327,327,0
beijing,Dongsi,72,fit,2013Q2,missing,46,46,46,0
beijing,Dongsi,72,fit,2013Q2,low,1096,1096,1011,85
beijing,Dongsi,72,fit,2013Q2,high,1042,1042,1030,12
beijing,Dongsi,72,fit,2013Q3,missing,66,66,66,0
beijing,Dongsi,72,fit,2013Q3,low,1248,1246,1109,137
beijing,Dongsi,72,fit,2013Q3,high,894,891,863,28
beijing,Dongsi,72,fit,2013Q4,missing,29,29,29,0
beijing,Dongsi,72,fit,2013Q4,low,735,728,652,76
beijing,Dongsi,72,fit,2013Q4,high,629,626,619,7
beijing,Dongsi,72,select,2013Q4,missing,1,1,1,0
beijing,Dongsi,72,select,2013Q4,low,461,461,383,78
beijing,Dongsi,72,select,2013Q4,high,282,282,276,6
beijing,Dongsi,72,select,2014Q1,missing,24,24,24,0
beijing,Dongsi,72,select,2014Q1,low,518,518,510,8
beijing,Dongsi,72,select,2014Q1,high,803,803,800,3
beijing,Guanyuan,72,fit,2013Q1,low,262,262,262,0
beijing,Guanyuan,72,fit,2013Q1,high,314,314,314,0
beijing,Guanyuan,72,fit,2013Q2,missing,49,49,49,0
beijing,Guanyuan,72,fit,2013Q2,low,1171,1163,1066,97
beijing,Guanyuan,72,fit,2013Q2,high,964,961,950,11
beijing,Guanyuan,72,fit,2013Q3,missing,49,49,47,2
beijing,Guanyuan,72,fit,2013Q3,low,1343,1310,1123,187
beijing,Guanyuan,72,fit,2013Q3,high,816,812,781,31
beijing,Guanyuan,72,fit,2013Q4,missing,2,2,2,0
beijing,Guanyuan,72,fit,2013Q4,low,759,759,659,100
beijing,Guanyuan,72,fit,2013Q4,high,632,632,616,16
beijing,Guanyuan,72,select,2013Q4,missing,1,1,1,0
beijing,Guanyuan,72,select,2013Q4,low,451,451,371,80
beijing,Guanyuan,72,select,2013Q4,high,292,292,286,6
beijing,Guanyuan,72,select,2014Q1,missing,30,30,30,0
beijing,Guanyuan,72,select,2014Q1,low,531,531,523,8
beijing,Guanyuan,72,select,2014Q1,high,784,784,781,3
beijing,Gucheng,72,fit,2013Q1,low,236,236,236,0
beijing,Gucheng,72,fit,2013Q1,high,340,340,340,0
beijing,Gucheng,72,fit,2013Q2,missing,101,47,47,0
beijing,Gucheng,72,fit,2013Q2,low,1109,1064,1043,21
beijing,Gucheng,72,fit,2013Q2,high,974,971,959,12
beijing,Gucheng,72,fit,2013Q3,missing,31,7,3,4
beijing,Gucheng,72,fit,2013Q3,low,1395,1386,1118,268
beijing,Gucheng,72,fit,2013Q3,high,782,775,746,29
beijing,Gucheng,72,fit,2013Q4,missing,2,2,2,0
beijing,Gucheng,72,fit,2013Q4,low,764,764,678,86
beijing,Gucheng,72,fit,2013Q4,high,627,627,616,11
beijing,Gucheng,72,select,2013Q4,low,430,430,424,6
beijing,Gucheng,72,select,2013Q4,high,314,314,311,3
beijing,Gucheng,72,select,2014Q1,missing,38,38,38,0
beijing,Gucheng,72,select,2014Q1,low,499,499,494,5
beijing,Gucheng,72,select,2014Q1,high,808,808,805,3
beijing,Huairou,72,fit,2013Q1,low,279,279,279,0
beijing,Huairou,72,fit,2013Q1,high,297,297,294,3
beijing,Huairou,72,fit,2013Q2,missing,233,49,49,0
beijing,Huairou,72,fit,2013Q2,low,1205,1138,1030,108
beijing,Huairou,72,fit,2013Q2,high,746,740,725,15
beijing,Huairou,72,fit,2013Q3,missing,1,1,1,0
beijing,Huairou,72,fit,2013Q3,low,1458,1458,1222,236
beijing,Huairou,72,fit,2013Q3,high,749,749,718,31
beijing,Huairou,72,fit,2013Q4,missing,3,3,3,0
beijing,Huairou,72,fit,2013Q4,low,925,925,602,323
beijing,Huairou,72,fit,2013Q4,high,465,465,446,19
beijing,Huairou,72,select,2013Q4,missing,33,33,32,1
beijing,Huairou,72,select,2013Q4,low,539,500,380,120
beijing,Huairou,72,select,2013Q4,high,172,168,160,8
beijing,Huairou,72,select,2014Q1,missing,33,33,32,1
beijing,Huairou,72,select,2014Q1,low,561,561,546,15
beijing,Huairou,72,select,2014Q1,high,751,751,742,9
beijing,Nongzhanguan,72,fit,2013Q1,low,244,244,244,0
beijing,Nongzhanguan,72,fit,2013Q1,high,332,332,332,0
beijing,Nongzhanguan,72,fit,2013Q2,missing,29,29,28,1
beijing,Nongzhanguan,72,fit,2013Q2,low,1231,1231,1096,135
beijing,Nongzhanguan,72,fit,2013Q2,high,924,924,906,18
beijing,Nongzhanguan,72,fit,2013Q3,missing,5,5,5,0
beijing,Nongzhanguan,72,fit,2013Q3,low,1285,1285,1165,120
beijing,Nongzhanguan,72,fit,2013Q3,high,918,917,893,24
beijing,Nongzhanguan,72,fit,2013Q4,missing,4,4,3,1
beijing,Nongzhanguan,72,fit,2013Q4,low,764,764,688,76
beijing,Nongzhanguan,72,fit,2013Q4,high,625,625,617,8
beijing,Nongzhanguan,72,select,2013Q4,missing,1,1,1,0
beijing,Nongzhanguan,72,select,2013Q4,low,456,456,421,35
beijing,Nongzhanguan,72,select,2013Q4,high,287,287,281,6
beijing,Nongzhanguan,72,select,2014Q1,missing,22,22,22,0
beijing,Nongzhanguan,72,select,2014Q1,low,516,516,516,0
beijing,Nongzhanguan,72,select,2014Q1,high,807,807,807,0
beijing,Shunyi,72,fit,2013Q1,missing,21,21,21,0
beijing,Shunyi,72,fit,2013Q1,low,232,232,232,0
beijing,Shunyi,72,fit,2013Q1,high,323,323,323,0
beijing,Shunyi,72,fit,2013Q2,missing,8,8,8,0
beijing,Shunyi,72,fit,2013Q2,low,1234,1234,1138,96
beijing,Shunyi,72,fit,2013Q2,high,942,942,924,18
beijing,Shunyi,72,fit,2013Q3,missing,230,67,67,0
beijing,Shunyi,72,fit,2013Q3,low,1238,1233,1023,210
beijing,Shunyi,72,fit,2013Q3,high,740,737,710,27
beijing,Shunyi,72,fit,2013Q4,missing,1,1,1,0
beijing,Shunyi,72,fit,2013Q4,low,860,860,803,57
beijing,Shunyi,72,fit,2013Q4,high,532,532,518,14
beijing,Shunyi,72,select,2013Q4,missing,2,2,0,2
beijing,Shunyi,72,select,2013Q4,low,537,537,373,164
beijing,Shunyi,72,select,2013Q4,high,205,205,196,9
beijing,Shunyi,72,select,2014Q1,missing,35,35,35,0
beijing,Shunyi,72,select,2014Q1,low,545,545,536,9
beijing,Shunyi,72,select,2014Q1,high,765,765,762,3
beijing,Tiantan,72,fit,2013Q1,missing,3,3,3,0
beijing,Tiantan,72,fit,2013Q1,low,243,243,243,0
beijing,Tiantan,72,fit,2013Q1,high,330,330,330,0
beijing,Tiantan,72,fit,2013Q2,missing,7,7,7,0
beijing,Tiantan,72,fit,2013Q2,low,1182,1182,1075,107
beijing,Tiantan,72,fit,2013Q2,high,995,995,981,14
beijing,Tiantan,72,fit,2013Q3,missing,6,6,6,0
beijing,Tiantan,72,fit,2013Q3,low,1351,1319,1155,164
beijing,Tiantan,72,fit,2013Q3,high,851,845,816,29
beijing,Tiantan,72,fit,2013Q4,missing,1,1,1,0
beijing,Tiantan,72,fit,2013Q4,low,768,768,727,41
beijing,Tiantan,72,fit,2013Q4,high,624,624,617,7
beijing,Tiantan,72,select,2013Q4,low,451,451,384,67
beijing,Tiantan,72,select,2013Q4,high,293,293,287,6
beijing,Tiantan,72,select,2014Q1,missing,55,55,55,0
beijing,Tiantan,72,select,2014Q1,low,527,527,519,8
beijing,Tiantan,72,select,2014Q1,high,763,763,760,3
beijing,Wanliu,72,fit,2013Q1,low,231,231,231,0
beijing,Wanliu,72,fit,2013Q1,high,345,345,345,0
beijing,Wanliu,72,fit,2013Q2,missing,11,11,11,0
beijing,Wanliu,72,fit,2013Q2,low,1069,1069,1012,57
beijing,Wanliu,72,fit,2013Q2,high,1104,1104,1098,6
beijing,Wanliu,72,fit,2013Q3,missing,3,3,3,0
beijing,Wanliu,72,fit,2013Q3,low,1303,1303,1181,122
beijing,Wanliu,72,fit,2013Q3,high,902,902,877,25
beijing,Wanliu,72,fit,2013Q4,missing,3,3,3,0
beijing,Wanliu,72,fit,2013Q4,low,723,723,662,61
beijing,Wanliu,72,fit,2013Q4,high,667,667,658,9
beijing,Wanliu,72,select,2013Q4,missing,4,4,4,0
beijing,Wanliu,72,select,2013Q4,low,376,376,324,52
beijing,Wanliu,72,select,2013Q4,high,364,364,358,6
beijing,Wanliu,72,select,2014Q1,missing,22,22,22,0
beijing,Wanliu,72,select,2014Q1,low,476,476,476,0
beijing,Wanliu,72,select,2014Q1,high,847,847,847,0
beijing,Wanshouxigong,72,fit,2013Q1,low,254,254,254,0
beijing,Wanshouxigong,72,fit,2013Q1,high,322,322,322,0
beijing,Wanshouxigong,72,fit,2013Q2,missing,27,27,27,0
beijing,Wanshouxigong,72,fit,2013Q2,low,1054,1054,1052,2
beijing,Wanshouxigong,72,fit,2013Q2,high,1103,1102,1096,6
beijing,Wanshouxigong,72,fit,2013Q3,missing,11,10,10,0
beijing,Wanshouxigong,72,fit,2013Q3,low,1446,1443,1149,294
beijing,Wanshouxigong,72,fit,2013Q3,high,751,751,717,34
beijing,Wanshouxigong,72,fit,2013Q4,missing,2,2,2,0
beijing,Wanshouxigong,72,fit,2013Q4,low,748,748,671,77
beijing,Wanshouxigong,72,fit,2013Q4,high,643,643,634,9
beijing,Wanshouxigong,72,select,2013Q4,missing,1,1,1,0
beijing,Wanshouxigong,72,select,2013Q4,low,432,432,373,59
beijing,Wanshouxigong,72,select,2013Q4,high,311,311,304,7
beijing,Wanshouxigong,72,select,2014Q1,missing,56,56,56,0
beijing,Wanshouxigong,72,select,2014Q1,low,467,467,467,0
beijing,Wanshouxigong,72,select,2014Q1,high,822,822,822,0
household,household,60,fit,2006Q4,missing,4,4,2,2
household,household,60,fit,2006Q4,low,16421,16421,3838,12583
household,household,60,fit,2006Q4,high,4131,4131,3714,417
household,household,60,fit,2007Q1,missing,5,5,4,1
household,household,60,fit,2007Q1,low,114236,114236,19284,94952
household,household,60,fit,2007Q1,high,15359,15359,13011,2348
household,household,60,fit,2007Q2,missing,3723,5,0,5
household,household,60,fit,2007Q2,low,37090,37034,3676,33358
household,household,60,fit,2007Q2,high,1932,1932,1412,520
household,household,60,select,2007Q2,missing,40,9,0,9
household,household,60,select,2007Q2,low,61170,61117,7811,53306
household,household,60,select,2007Q2,high,3531,3531,2501,1030
household,household,180,fit,2006Q4,missing,4,4,2,2
household,household,180,fit,2006Q4,low,16421,16421,7441,8980
household,household,180,fit,2006Q4,high,4131,4131,3883,248
household,household,180,fit,2007Q1,missing,5,5,5,0
household,household,180,fit,2007Q1,low,114236,114236,40193,74043
household,household,180,fit,2007Q1,high,15359,15359,14168,1191
household,household,180,fit,2007Q2,missing,3723,5,0,5
household,household,180,fit,2007Q2,low,36970,36852,8161,28691
household,household,180,fit,2007Q2,high,1932,1927,1645,282
household,household,180,select,2007Q2,missing,40,9,1,8
household,household,180,select,2007Q2,low,61050,60877,17528,43349
household,household,180,select,2007Q2,high,3531,3531,2918,613
