phase,dataset,series,K,L,scope,origin_start,N,component,first_origin,last_origin,labels,unknowns,status,patterns,closure_operation,pattern_a,pattern_b,unreachable_pattern,assignment_a,assignment_b
AP1,beijing,Changping,24,3,origin_week,15816,168,0,82,84,3,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Changping,24,3,origin_week,16656,168,0,127,133,7,7,EXACT_CLOSED,8.0,,,,,,
AP1,beijing,Changping,72,3,annual,8760,8689,0,2469,2479,11,6,EXACT_CLOSED,5.0,,,,,,
AP1,beijing,Changping,72,3,annual,8760,8689,1,3450,3543,94,95,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,72,3,annual,8760,8689,2,5889,5896,8,6,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Changping,72,3,annual,8760,8689,3,7028,7034,7,6,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Changping,72,3,annual,8760,8689,4,7138,7140,3,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Changping,72,3,annual,8760,8689,5,8023,8028,6,7,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Changping,72,3,origin_week,11112,168,0,117,127,11,6,EXACT_CLOSED,5.0,,,,,,
AP1,beijing,Changping,72,3,origin_week,12120,168,0,90,167,78,82,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,72,3,origin_week,12288,168,0,0,15,16,84,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,72,3,origin_week,14640,168,0,9,16,8,6,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Changping,72,3,origin_week,15648,168,0,140,146,7,6,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Changping,72,3,origin_week,15816,168,0,82,84,3,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Changping,72,3,origin_week,16656,168,0,127,132,6,7,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,0,971,971,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,1,1410,1427,18,24,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,2,2204,2213,10,10,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,3,2337,2340,4,4,EXACT_CLOSED,5.0,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,4,2380,2408,29,12,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,5,2751,2765,15,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,6,2824,2846,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Dingling,24,3,annual,8760,8737,7,3903,3924,22,8,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,8,4772,4786,15,15,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,9,5462,5507,44,7,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,10,7028,7035,8,6,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Dingling,24,3,annual,8760,8737,11,7319,7341,23,14,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,origin_week,9600,168,0,131,131,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Dingling,24,3,origin_week,10104,168,0,66,83,18,24,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,origin_week,10944,168,0,20,29,10,10,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,origin_week,10944,168,1,153,156,4,4,EXACT_CLOSED,5.0,,,,,,
AP1,beijing,Dingling,24,3,origin_week,11112,168,0,28,56,29,12,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,origin_week,11448,168,0,63,77,15,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,24,3,origin_week,11448,168,1,136,158,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Dingling,24,3,origin_week,12624,168,0,39,60,22,8,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,24,3,origin_week,13464,168,0,68,82,15,15,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,24,3,origin_week,14136,168,0,86,131,44,7,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Dingling,24,3,origin_week,15648,168,0,140,147,8,6,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Dingling,24,3,origin_week,15984,168,0,95,117,23,14,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,0,2204,2213,10,10,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,1,2337,2376,40,16,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,2,2705,2717,13,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,3,2818,2846,29,6,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,4,3878,3924,47,8,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,5,4724,4738,15,16,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,6,5414,5462,49,7,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,7,7028,7035,8,6,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Dingling,72,3,annual,8760,8689,8,7271,7293,23,15,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,origin_week,10944,168,0,20,29,10,10,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,origin_week,10944,168,1,153,167,15,15,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,origin_week,11112,168,0,0,24,25,12,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,origin_week,11448,168,0,17,29,13,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,72,3,origin_week,11448,168,1,130,158,29,6,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dingling,72,3,origin_week,12624,168,0,14,60,47,8,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dingling,72,3,origin_week,13464,168,0,20,34,15,16,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dingling,72,3,origin_week,14136,168,0,38,86,49,7,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dingling,72,3,origin_week,15648,168,0,140,147,8,6,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Dingling,72,3,origin_week,15984,168,0,47,69,23,15,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,0,1381,1396,16,2,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,1,1575,1578,4,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,2,2130,2139,10,5,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,3,2750,2765,16,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,4,6369,6370,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,5,7239,7245,7,17,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,6,7447,7450,4,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,7,7837,7839,3,2,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,8,7992,7994,3,2,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dongsi,24,3,annual,8760,8737,9,8026,8027,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,10104,168,0,37,52,16,2,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,10272,168,0,63,66,4,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,10776,168,0,114,123,10,5,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,11448,168,0,62,77,16,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,14976,168,0,153,154,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,15984,168,0,15,21,7,17,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,16152,168,0,55,58,4,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,16488,168,0,109,111,3,2,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,16656,168,0,96,98,3,2,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Dongsi,24,3,origin_week,16656,168,1,130,131,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Dongsi,72,3,annual,8760,8689,0,1527,1530,4,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,72,3,annual,8760,8689,1,2082,2091,10,5,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,72,3,annual,8760,8689,2,2702,2717,16,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,72,3,origin_week,10272,168,0,15,18,4,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,72,3,origin_week,10776,168,0,66,75,10,5,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Dongsi,72,3,origin_week,11448,168,0,14,29,16,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,0,828,850,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Guanyuan,24,3,annual,8760,8737,1,1390,1396,7,2,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,2,1530,1551,22,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,3,1640,1641,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,4,3139,3181,43,24,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,5,3433,3455,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Guanyuan,24,3,annual,8760,8737,6,3826,3826,1,3,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,7,3927,4016,90,71,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,8,4958,4970,13,4,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,9,5925,5942,18,7,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,annual,8760,8737,10,7708,7714,7,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,9432,168,0,156,167,12,4,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,9600,168,0,0,10,11,4,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,10104,168,0,46,52,7,2,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,10272,168,0,18,39,22,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,10272,168,1,128,129,2,2,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,11784,168,0,115,157,43,24,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,12120,168,0,73,95,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Guanyuan,24,3,origin_week,12456,168,0,130,130,1,3,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,12624,168,0,63,152,90,71,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,13632,168,0,86,98,13,4,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,14640,168,0,45,62,18,7,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,24,3,origin_week,16320,168,0,148,154,7,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,annual,8760,8689,0,789,824,36,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,annual,8760,8689,1,1483,1526,44,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,annual,8760,8689,2,3105,3181,77,24,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,72,3,annual,8760,8689,3,3401,3420,20,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,annual,8760,8689,4,3879,3982,104,71,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,72,3,annual,8760,8689,5,5885,5894,10,7,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,origin_week,9432,168,0,117,152,36,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,origin_week,10104,168,0,139,167,29,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,origin_week,10272,168,0,0,14,15,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,origin_week,11784,168,0,81,157,77,24,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,72,3,origin_week,12120,168,0,41,60,20,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Guanyuan,72,3,origin_week,12624,168,0,15,118,104,71,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Guanyuan,72,3,origin_week,14640,168,0,5,14,10,7,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Gucheng,24,3,annual,8760,8737,0,1047,1052,6,25,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Gucheng,24,3,annual,8760,8737,1,1094,1094,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Gucheng,24,3,annual,8760,8737,2,1339,1350,12,11,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Gucheng,24,3,annual,8760,8737,3,2277,2299,23,5,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,11100,01110
AP1,beijing,Gucheng,24,3,annual,8760,8737,4,3425,3447,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Gucheng,24,3,annual,8760,8737,5,4168,4170,3,4,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Gucheng,24,3,annual,8760,8737,6,5925,5943,19,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Gucheng,24,3,annual,8760,8737,7,7258,7267,10,14,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Gucheng,24,3,origin_week,9768,168,0,39,44,6,25,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Gucheng,24,3,origin_week,9768,168,1,86,86,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Gucheng,24,3,origin_week,9936,168,0,163,167,5,11,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Gucheng,24,3,origin_week,10104,168,0,0,6,7,9,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Gucheng,24,3,origin_week,10944,168,0,93,115,23,5,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,11100,01110
AP1,beijing,Gucheng,24,3,origin_week,12120,168,0,65,87,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Gucheng,24,3,origin_week,12792,168,0,136,138,3,4,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Gucheng,24,3,origin_week,14640,168,0,45,63,19,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Gucheng,24,3,origin_week,15984,168,0,34,43,10,14,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Gucheng,72,3,annual,8760,8689,0,2229,2256,28,5,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Gucheng,72,3,annual,8760,8689,1,3405,3421,17,6,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Gucheng,72,3,annual,8760,8689,2,5886,5895,10,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Gucheng,72,3,origin_week,10944,168,0,45,72,28,5,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Gucheng,72,3,origin_week,12120,168,0,45,61,17,6,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Gucheng,72,3,origin_week,14640,168,0,6,15,10,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,0,1616,1623,8,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,1,1719,1761,43,25,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,2,2151,2262,112,95,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,3,2646,2663,18,20,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,4,3103,3128,26,26,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,5,4169,4171,3,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,6,4327,4348,22,36,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,7,4407,4410,4,2,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,8,4718,4736,19,8,EXACT_CLOSED,5.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,9,4828,4829,2,4,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,10,5631,5635,5,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,11,6618,6639,22,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,12,6748,6760,13,8,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,13,6981,6984,4,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,14,7452,7452,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Huairou,24,3,annual,8760,8737,15,7962,7984,23,5,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,01110,00111
AP1,beijing,Huairou,24,3,origin_week,10272,168,0,104,111,8,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,origin_week,10440,168,0,39,81,43,25,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,10776,168,0,135,167,33,37,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,10944,168,0,0,78,79,81,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,11280,168,0,126,143,18,20,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,11784,168,0,79,104,26,26,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,12792,168,0,137,139,3,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Huairou,24,3,origin_week,12960,168,0,127,148,22,36,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,13128,168,0,39,42,4,2,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,origin_week,13464,168,0,14,32,19,8,EXACT_CLOSED,5.0,,,,,,
AP1,beijing,Huairou,24,3,origin_week,13464,168,1,124,125,2,4,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,14304,168,0,87,91,5,4,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,origin_week,15312,168,0,66,87,22,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,24,3,origin_week,15480,168,0,28,40,13,8,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Huairou,24,3,origin_week,15648,168,0,93,96,4,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,16152,168,0,60,60,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Huairou,24,3,origin_week,16656,168,0,66,88,23,5,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,01110,00111
AP1,beijing,Huairou,72,3,annual,8760,8689,0,1671,1745,75,25,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,annual,8760,8689,1,2103,2261,159,95,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,annual,8760,8689,2,3103,3128,26,26,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,annual,8760,8689,3,4718,4736,19,11,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,annual,8760,8689,4,6584,6639,56,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Huairou,72,3,origin_week,10272,168,0,159,167,9,11,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,origin_week,10440,168,0,0,65,66,25,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,origin_week,10776,168,0,87,167,81,85,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,origin_week,10944,168,0,0,77,78,81,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,origin_week,11784,168,0,79,104,26,26,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,origin_week,13464,168,0,14,32,19,11,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Huairou,72,3,origin_week,15312,168,0,32,87,56,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,0,969,972,4,5,EXACT_CLOSED,3.0,,,,,,
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,1,1562,1574,13,19,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,2,4017,4017,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,3,4740,4767,28,9,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,4,4807,4811,5,2,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,5,6135,6156,22,3,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,6,6371,6371,1,1,SUFFICIENT_SMALL_COMPONENT,,,,,,,
