id,type,common_origin_status,core_rerun_status,note,source
journal_methods_20260913,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/journal_methods_20260913
latency,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/latency
long_history_source_ablation_v1,EXISTING_RESULT_GROUP,LOCKED_REPLAY_COMPLETED,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Final selected raw predictions only; training/selection cohorts stay separate,artifacts/summaries/long_history_source_ablation_v1
paired_audit_v3,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/paired_audit_v3
paper_audits,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/paper_audits
paris_development,EXISTING_RESULT_GROUP,DIFFERENT_DATASET,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Paris kept separate; no access to protected data,artifacts/summaries/paris_development
physics_economics_traffic_20260913,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/physics_economics_traffic_20260913
reference_harm_stability_v1,EXISTING_RESULT_GROUP,LOCKED_REPLAY_COMPLETED,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Final selected raw predictions only; training/selection cohorts stay separate,artifacts/summaries/reference_harm_stability_v1
registry,EXISTING_RESULT_GROUP,HISTORICAL_REPRODUCTION_REGISTRY,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"1224 configs:865 complete,340 not executed,19 failed; historical evidence grades are not SOTA gates",artifacts/summaries/registry
research_directions_20260910,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/research_directions_20260910
research_transition,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/research_transition
residual_information_v1,EXISTING_RESULT_GROUP,DIFFERENT_SELECTION_OR_EVALUATION,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Residual and baseline lineage retain original train/calibration scope,artifacts/summaries/residual_information_v1
router,EXISTING_RESULT_GROUP,HISTORICAL_SIX_FOLD_OTHER_CONTRACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Router and fixed controls, original prior-fold label availability retained",artifacts/summaries/router
short_state_relaxation_v1,EXISTING_RESULT_GROUP,LOCKED_REPLAY_COMPLETED,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Final selected raw predictions only; training/selection cohorts stay separate,artifacts/summaries/short_state_relaxation_v1
signal_replication_v1,EXISTING_RESULT_GROUP,NOT_RUN_AT_COMMON_ORIGINS,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Second-window replication and negative results retained,artifacts/summaries/signal_replication_v1
volume_composition_increment_v1,EXISTING_RESULT_GROUP,NOT_RUN_AT_COMMON_ORIGINS,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Stopped at1056; no fabricated1392 results,artifacts/summaries/volume_composition_increment_v1
CAPER_implementation,EXISTING_MODEL,HISTORICAL_SIX_FOLD_OTHER_CONTRACT,NOT_IN_THIS_CORE_BUDGET,"Project-authored local implementation, no established official paper-to-code identity",models/caper/IDENTITY.md
